# pres  Tmin  Tmax  qmin  qmax
5.397519999999999709e+04 2.477500544458956711e+02 2.505772608295689281e+02 9.951901120075490326e-06 2.093870862154290080e-04
5.379805000000000291e+04 2.475687188572745754e+02 2.503813564414596442e+02 9.951901120075490326e-06 1.046708930516615510e-04
5.362184999999999854e+04 2.474890921414394143e+02 2.502236467283377692e+02 9.951901120075490326e-06 9.737205982673913240e-05
5.344461666666666861e+04 2.472030355000921418e+02 2.502371790264282652e+02 9.951901120075490326e-06 8.630511729279533029e-05
5.326988333333333139e+04 2.470909387810781084e+02 2.501200778475746063e+02 9.951901120075490326e-06 7.116069173207506537e-05
5.309338333333333139e+04 2.468109263119042112e+02 2.498488781501284564e+02 9.951901120075490326e-06 7.616815855726599693e-05
5.291996666666666715e+04 2.466816147513016233e+02 2.495442150827147145e+02 9.951901120075490326e-06 5.471507392940111458e-05
5.274455000000000291e+04 2.468613939065081127e+02 2.492754374712118874e+02 9.951901120075490326e-06 4.928655107505619526e-05
5.257180000000000291e+04 2.467710117485920591e+02 2.493221314156585322e+02 9.951901120075490326e-06 7.422705675708130002e-05
5.239809999999999854e+04 2.475847672447898162e+02 2.489257776909235815e+02 9.951901120075490326e-06 5.356210749596357346e-05
5.222471666666666715e+04 2.477579336911735481e+02 2.487482481653065065e+02 9.951901120075490326e-06 3.669533180072903633e-05
5.205286666666666861e+04 2.476851549346766603e+02 2.486540846576477009e+02 9.951901120075490326e-06 3.160839332849718630e-05
5.188176666666667006e+04 2.475946919608999508e+02 2.484353247868834274e+02 9.951901120075490326e-06 3.029623985639773309e-05
5.171084999999999854e+04 2.475525876376982524e+02 2.483326006372030292e+02 9.951901120075490326e-06 2.723146280914079398e-05
5.154000000000000000e+04 2.476220356068167803e+02 2.481948153293501775e+02 9.951901120075490326e-06 2.380124715273268521e-05
5.136933333333333576e+04 2.475429244653928720e+02 2.480742121038395851e+02 9.951901120075490326e-06 2.405975283181760460e-05
5.119971666666666715e+04 2.474282441386694131e+02 2.479729040375854936e+02 9.951901120075490326e-06 2.376361589995212853e-05
5.103071666666666715e+04 2.473069129617431656e+02 2.478755948872502017e+02 9.951901120075490326e-06 2.353578929614741355e-05
5.086156666666666570e+04 2.471945616138565072e+02 2.477840027191722641e+02 9.951901120075490326e-06 2.366877561144065112e-05
5.069265000000000146e+04 2.470714596713437743e+02 2.477008190853418341e+02 9.951901120075490326e-06 2.353489071538206190e-05
5.052384999999999854e+04 2.469559055066633562e+02 2.476297293903202501e+02 9.951901120075490326e-06 2.416248207737226039e-05
5.035740000000000146e+04 2.468381202646969541e+02 2.475930940434276692e+02 9.951901120075490326e-06 2.399496406724210829e-05
5.019144999999999709e+04 2.467056473811744297e+02 2.476187108472914247e+02 9.951901120075490326e-06 2.465085526637267321e-05
5.002363333333333139e+04 2.465738919937398350e+02 2.477388084752384998e+02 9.951901120075490326e-06 2.576456245151348412e-05
